CandidateNumber,OwnerPath,XsdLine,MatchedKeywords,Status,RuleId,Reason,SourceText
82,AliasType,4206,must,SEMANTIC,XTCE-1.2-R11-no-dangling-name-references,"Blind re-triage reclassification: ""the name is not reference-able"" is a resolution-semantics constraint, honored by R11 because aliases never join the reference namespaces; recorded as an R11 citation rather than a new rule.","Used to contain an alias (alternate) name or ID for the object.   For example, a parameter may have a mnemonic, an on-board id, and special IDs used by various ground software applications; all of these are alias's.  Some ground system processing equipment has some severe naming restrictions on parameters (e.g., names must less then 12 characters, single case or integral id's only); their alias's provide a means of capturing each name in a ""nameSpace"".  Note: the name is not reference-able (it cannot be used in a name reference substituting for the name of the item of interest).  See NameDescriptionType."
83,AliasType/nameSpace,4210,should,NON_NORMATIVE,,Descriptive rationale for grouping aliases into namespaces.,"Aliases should be grouped together in a ""namespace"" so that they can be switched in and out of data extractions.  The namespace generally identifies the purpose of the alternate name, whether for software variable names, additional operator names, or whatever the purpose."
84,BinaryType,4301,must,REDUNDANT,,XSD pattern restriction confirmed: BinaryType = pattern '0[bB][0-1]+'.,A simple restriction on string for hexadecimal numbers.  Must be in 0b or 0B form.
85,ComparisonCheckType/Value,4377,"must not, must",SEMANTIC,XTCE-1.2-R15-typed-value-valid-for-type,Same rule as #29 (ComparisonCheckType/Value).,"Right hand side value.  Specify as: integer data type using xs:integer, float data type using xs:double, string data type using xs:string, boolean data type using xs:boolean, binary data type using xs:hexBinary, enum data type using label name, relative time data type using xs:duration, absolute time data type using xs:dateTime.  Values must not exceed the characteristics for the data type or this is a validation error. Takes precedence over an initial value given in the data type. Values are calibrated unless there is an option to override it."
86,ComparisonListType,4387,must,NON_NORMATIVE,,"Runtime AND-evaluation semantics, same pattern as #35/#36/#38/#44.",All comparisons must be true
87,ComparisonListType/Comparison,4392,must,NON_NORMATIVE,,Runtime AND-evaluation semantics.,List of Comparison elements must all be true for the comparison to evaluate to true.
88,ComparisonType/value,4423,must,SEMANTIC,XTCE-1.2-R15-typed-value-valid-for-type,Same rule as #29 (ComparisonType/value).,Specify value as a string compliant with the XML schema (xs) type specified for each XTCE type: integer=xs:integer; float=xs:double; string=xs:string; boolean=xs:boolean; binary=xs:hexBinary; enum=xs:string from EnumerationList; relative time= xs:duration; absolute time=xs:dateTime.  Supplied value must be within the ValidRange specified for the type.
89,HexadecimalType,4606,must,REDUNDANT,,XSD pattern restriction confirmed: HexadecimalType = pattern '0[xX][0-9a-fA-F]+'.,A simple restriction on string for hexadecimal numbers.  Must be in 0x or 0X form.
90,MatchCriteriaType/ComparisonList,4966,must,NON_NORMATIVE,,Runtime AND-evaluation semantics.,A series of simple comparison checks with an implicit 'and' in that they all must be true for the overall condition to be true.
91,NameReferenceType,5013,must,SEMANTIC,XTCE-1.2-R11-no-dangling-name-references,"Foundational referential-integrity rule, stated explicitly and directly by the spec: 'It is illegal for a name reference to point to no item.' Directly confirms the rule category independently inferred from the XSD's 68 *Ref-named constructs with 0 xs:keyref enforcement.","Describe a reference to a named item in an XTCE instance document.  The named must be of schema type NameType.  All name references use a Unix style file system name format where the SpaceSystem names form a path in the SpaceSystem tree. The following characters are reserved for the path: '/', ‘..’ and ‘.’ (multiple consecutive ‘/’s are treated as one).  The path portion is similar to the directory path used in file system names and the path characters have similar meaning (e.g., SimpleSat/Bus/EPDS/BatteryOne/Voltage). There are three overall forms for name references:  absolute path, relative path and just the name.  The first two forms are called qualified name references; the last form is called an unqualified name reference.  The unqualified form refers to an item in the SpaceSystem the reference is used in.  The unqualified form refers to an item in the SpaceSystem the reference is used in.  It is illegal for a name reference to point to no item (“a dangling name reference”)."
92,NumberFormatType,5036,should,NON_NORMATIVE,,"Display formatting overview, same pattern as #81.",This type describes how a numeric value should be represented in engineering/calibrated form.  The defaults reflect the most common form.
93,NumberFormatType/numberBase,5040,should,NON_NORMATIVE,,"Display formatting; likely restates an XSD default (not individually re-verified, see matrix Methodology note).",Describes how the engineering/calibrated value of this number should be displayed with respect to the radix.  Default is base 10.
94,NumberFormatType/minimumFractionDigits,5045,should,NON_NORMATIVE,,Display formatting; likely restates an XSD default.,Describes how the engineering/calibrated value of this number should be displayed with respect to the minimum number of fractional digits.  The default is 0.
95,NumberFormatType/maximumFractionDigits,5050,should,NON_NORMATIVE,,Display formatting.,Describes how the engineering/calibrated value of this number should be displayed with respect to the maximum or upper bound of the number of digits.  There is no default.  No value specified should be interpreted as no upper bound such that all requires digits are used to fully characterize the value.
96,NumberFormatType/minimumIntegerDigits,5055,should,NON_NORMATIVE,,Display formatting; likely restates an XSD default.,Describes how the engineering/calibrated value of this number should be displayed with respect to the minimum number of integer digits.  The default is 1.
97,NumberFormatType/maximumIntegerDigits,5060,should,NON_NORMATIVE,,Display formatting.,Describes how the engineering/calibrated value of this number should be displayed with respect to the maximum or upper bound of the integer digits.  There is no default.  No value specified should be interpreted as no upper bound such that all requires digits are used to fully characterize the value.
98,NumberFormatType/negativeSuffix,5065,should,NON_NORMATIVE,,Display formatting.,Describes how the engineering/calibrated value of this number should be displayed with respect to negative values.  This attribute specifies the character or characters that should be appended to the numeric value to indicate negative values.  The default is none.
99,NumberFormatType/positiveSuffix,5070,should,NON_NORMATIVE,,Display formatting.,Describes how the engineering/calibrated value of this number should be displayed with respect to positive values.  This attribute specifies the character or characters that should be appended to the numeric value to indicate positive values.  The default is none.  Zero is considered to be specific to the implementation/platform and is not implied here.
100,NumberFormatType/negativePrefix,5075,should,NON_NORMATIVE,,Display formatting.,"Describes how the engineering/calibrated value of this number should be displayed with respect to negative values.  This attribute specifies the character or characters that should be prepended to the numeric value to indicate negative values.  The default is a minus character ""-""."
101,NumberFormatType/positivePrefix,5080,should,NON_NORMATIVE,,Display formatting.,Describes how the engineering/calibrated value of this number should be displayed with respect to positive values.  This attribute specifies the character or characters that should be prepended to the numeric value to indicate positive values.  The default is none.  Zero is considered to be specific to the implementation/platform and is not implied here.
102,NumberFormatType/showThousandsGrouping,5085,should,NON_NORMATIVE,,Display formatting; likely restates an XSD default.,"Describes how the engineering/calibrated value of this number should be displayed with respect to larger values.  Groupings by thousand are specific to locale, so the schema only specifies whether they will be present and not which character separators are used.  The default is false."
103,NumberFormatType/notation,5090,should,NON_NORMATIVE,,Display formatting; likely restates an XSD default.,"Describes how the engineering/calibrated value of this number should be displayed with respect to notation.  Engineering, scientific, or traditional decimal notation may be specified.  The precise characters used is locale specific for the implementation/platform.  The default is ""normal"" for the traditional notation."
104,OctalType,5096,must,REDUNDANT,,XSD pattern restriction confirmed: OctalType = pattern '0[oO][0-7]+'.,A simple restriction on string for hexadecimal numbers.  Must be in 0o or 0O form.
105,TermType/exponent,5267,"should, required",NON_NORMATIVE,,Confirmed false positive — the exact 'Math Calibrator' case already identified and regression-tested in Xtce.SpecTools.Tests during the original candidate-extraction work.,"The exponent in a single term of a polynomial expression.  Should negative exponents be required, use a Math Calibrator style of definition for this type."
106,TimeUnitsType,5273,should,SEMANTIC,XTCE-1.2-R01-ambiguous-time-units-flagged,"Usage of ambiguous calendar-variable time units (days/months/years) should be flagged — warning-level semantic rule, not XSD-checkable (all are valid enum members structurally).","base time units.  days, months, years have obvoius ambiguity and should be avoided"
107,AlarmType/AlarmConditions,5429,should,NON_NORMATIVE,,"Runtime alarm-level-selection evaluation semantics, not file structural validity.",A MatchCriteria may be specified for each of the 5 alarm levels. Each level is optional and the alarm should be the highest level to test true.
108,ConcernLevelsType,5548,should,NON_NORMATIVE,,Descriptive semantic interpretation of the 'normal' concern level.,"Defines six levels: Normal, Watch, Warning, Distress, Critical and Severe. Typical implementations color the ""normal"" level as green, ""warning"" level as yellow, and ""critical"" level as red. These level definitions are used throughout the alarm definitions. Some systems provide a greater fidelity with the additional levels provided here. The ""normal"" level is not typically needed because ""normal"" should be construed as none of the concern levels evaluating to true. For cases where definiing ""normal"" is needed, refer to the specific alarm definition types."
109,EnumerationAlarmType,5661,should,NON_NORMATIVE,,"Describes an implementation-default behavior for unmapped raw values, not a constraint on the alarm list's structure.","Describe alarm conditions specific to the enumeration data type, extends the basic AlarmType with an EnumerationAlarmList. The alarms are described using the label (engineering/calibrated value) of the enumerated parameter. Enumeration labels may represent several raw/uncalibrated values, so as a result, a single alarm definition here may represent multiple raw values in the enumerated parameter. It is not necessary to define an alarm for raw/uncalibrated values that do not map to an enumeration. Implementations should implicitly define this as an alarm case, of which the manifestation of that is program/implementation specific. See EnumeratedParameterType."
